LON,LAT,CLUSTER
-79.1408833981067,35.04078858485017,0
-80.40360110062333,36.07078373276356,1
-82.52036091684755,35.53362499597653,2
-77.96979826333703,35.202217343995855,3
-80.7811362731684,35.276739937835,4
-77.70034178049279,35.95091616430965,5
-78.13522771047717,34.16964209195051,6
-83.52138846513913,35.19425604200429,7
-76.27647672802564,36.13895926301272,8
-81.46049464732164,35.80039494476414,9
-78.74790389198256,35.86636637920292,10
-79.77630150380658,36.03119875431125,11
-77.09051176560199,34.9379927616387,12
